State;Tot Population;Male;Female;MedianAge;ageunder18;ageover18;ageover65;ageover85;hispanic;white;blackafricanamerican;indianalaskanative;asian;hawaiianpacificislander;other_races;two_or_more_races;diabetes_rate;obesity_rate;pop_density;government
AL;4903185;0.483;0.517;39.4;0.221;0.779;0.174;0.017;0.045;0.651;0.268;0.004;0.013;0.000;0.002;0.017;0.14;0.361;99.2;0
AK;731545;0.52;0.48;35.0;0.246;0.754;0.124;0.009;0.072;0.598;0.03;0.155;0.059;0.013;0.003;0.07;0.073;0.305;1.3;0
AZ;7278717;0.497;0.503;38.3;0.225;0.775;0.18;0.018;0.317;0.54;0.044;0.04;0.032;0.002;0.001;0.024;0.109;0.314;62.9;0
AR;3017804;0.489;0.511;38.8;0.232;0.768;0.174;0.019;0.077;0.72;0.154;0.005;0.015;0.004;0.001;0.024;0.136;0.374;57.9;0
CA;39512223;0.497;0.503;37.0;0.225;0.775;0.148;0.018;0.394;0.363;0.055;0.004;0.146;0.004;0.003;0.031;0.101;0.262;253.7;1
CO;5758736;0.504;0.496;37.1;0.218;0.782;0.147;0.015;0.218;0.675;0.04;0.006;0.032;0.001;0.002;0.027;0.07;0.238;55.7;1
CT;3565287;0.489;0.511;41.2;0.204;0.796;0.176;0.025;0.169;0.656;0.101;0.002;0.049;0.000;0.003;0.022;0.096;0.291;744.7;1
DE;973764;0.483;0.517;41.4;0.209;0.791;0.195;0.019;0.096;0.613;0.22;0.003;0.037;0.000;0.004;0.026;0.087;0.344;508.0;1
DC;705749;0.474;0.526;34.3;0.181;0.819;0.124;0.016;0.113;0.373;0.441;0.002;0.04;0.000;0.003;0.027;0.128;0.238;11280.7;1
FL;21477737;0.489;0.511;42.4;0.197;0.803;0.209;0.026;0.264;0.53;0.152;0.002;0.027;0.001;0.004;0.02;0.117;0.27;401.4;0
GA;10617423;0.487;0.513;37.2;0.236;0.764;0.143;0.014;0.098;0.518;0.315;0.002;0.041;0.001;0.003;0.021;0.12;0.331;185.6;0
HI;1415872;0.5;0.5;39.6;0.212;0.788;0.19;0.027;0.107;0.215;0.018;0.002;0.381;0.099;0.003;0.175;0.105;0.25;226.6;1
ID;1787065;0.503;0.497;36.9;0.251;0.749;0.162;0.016;0.128;0.816;0.007;0.01;0.014;0.001;0.001;0.022;0.103;0.295;22.3;0
IL;12671821;0.491;0.509;38.6;0.221;0.778;0.161;0.02;0.175;0.607;0.139;0.001;0.056;0.000;0.002;0.02;0.113;0.316;230.8;1
