state;new_case;submission_date;totpopulation;incidence_every100000
AK;0;22/01/2020;731545;0
AK;0;23/01/2020;731545;0
AK;0;24/01/2020;731545;0
AK;0;25/01/2020;731545;0
AK;0;26/01/2020;731545;0
AK;0;27/01/2020;731545;0
AK;0;28/01/2020;731545;0
AK;0;29/01/2020;731545;0
AK;0;30/01/2020;731545;0
AK;0;31/01/2020;731545;0
AK;0;01/02/2020;731545;0
AK;0;02/02/2020;731545;0
AK;0;03/02/2020;731545;0
AK;0;04/02/2020;731545;0
AK;0;05/02/2020;731545;0
AK;0;06/02/2020;731545;0
AK;0;07/02/2020;731545;0
AK;0;08/02/2020;731545;0
AK;0;09/02/2020;731545;0
AK;0;10/02/2020;731545;0
AK;0;11/02/2020;731545;0
AK;0;12/02/2020;731545;0
AK;0;13/02/2020;731545;0
AK;0;14/02/2020;731545;0
AK;0;15/02/2020;731545;0
AK;0;16/02/2020;731545;0
AK;0;17/02/2020;731545;0
AK;0;18/02/2020;731545;0
AK;0;19/02/2020;731545;0
AK;0;20/02/2020;731545;0
AK;0;21/02/2020;731545;0
AK;0;22/02/2020;731545;0
AK;0;23/02/2020;731545;0
AK;0;24/02/2020;731545;0
AK;0;25/02/2020;731545;0
AK;0;26/02/2020;731545;0
AK;0;27/02/2020;731545;0
AK;0;28/02/2020;731545;0
AK;0;29/02/2020;731545;0
AK;0;01/03/2020;731545;0
AK;0;02/03/2020;731545;0
AK;0;03/03/2020;731545;0
AK;0;04/03/2020;731545;0
AK;0;05/03/2020;731545;0
AK;0;06/03/2020;731545;0
AK;0;07/03/2020;731545;0
AK;0;08/03/2020;731545;0
AK;0;09/03/2020;731545;0
AK;0;10/03/2020;731545;0
AK;0;11/03/2020;731545;0
AK;0;12/03/2020;731545;0
AK;1;13/03/2020;731545;0
AK;0;14/03/2020;731545;0
AK;0;15/03/2020;731545;0
AK;0;16/03/2020;731545;0
AK;2;17/03/2020;731545;0
AK;5;18/03/2020;731545;1
AK;3;19/03/2020;731545;0
AK;3;20/03/2020;731545;0
AK;1;21/03/2020;731545;0
AK;10;22/03/2020;731545;1
AK;13;23/03/2020;731545;2
AK;4;24/03/2020;731545;1
AK;7;25/03/2020;731545;1
AK;14;26/03/2020;731545;2
AK;11;27/03/2020;731545;2
AK;17;28/03/2020;731545;2
