V1,V2
1997,1997,0.108664359572758
1998,1998,0.0241004825595786
1999,1999,-0.0480788582717676
2000,2000,0.0528905444821403
2001,2001,-0.0087818928968813
2002,2002,0.0230752710871936
2003,2003,0.0278083083478963
2004,2004,0.00811724386048529
2005,2005,0.0829784497584404
2006,2006,0.0141514526432934
2007,2007,0.0413555266528023
2008,2008,-0.0237611527387913
2009,2009,-0.173510860127656
2010,2010,0.064561809127672
2011,2011,0.0790177403593889
2012,2012,0.0370959114760514
2013,2013,0.0342176130633555
2014,2014,0.0186918880448235
2015,2015,-0.0223282687944325
2016,2016,-0.0232830951583621
2017,2017,-0.00593530669191672
2018,2018,-0.034900575297367
