V1,V2
1997,1997,0.00653748395633834
1998,1998,0.00889165784872574
1999,1999,0.0241023206941875
2000,2000,0.0244396880717986
2001,2001,-0.00928856452144508
2002,2002,-0.0168819340031583
2003,2003,-0.00507045051703013
2004,2004,-0.000810461007709291
2005,2005,-0.00881351613987275
2006,2006,-0.00361395082364308
2007,2007,0.0174963045474753
2008,2008,0.0282026365896044
2009,2009,-0.0263365076606351
2010,2010,-0.00605149711080963
2011,2011,-0.00797481196103479
2012,2012,-0.0291271600725224
2013,2013,-0.0226196469568863
2014,2014,0.00599738591233975
2015,2015,-0.00709774667304183
2016,2016,-0.00116573442700702
2017,2017,0.0105463421841455
2018,2018,0.0060923476913991
