V1,V2
1997,1997,0.0313832737070621
1998,1998,-0.00134071016589182
1999,1999,-0.046850401228571
2000,2000,-0.0318410453062286
2001,2001,0.00417697211161933
2002,2002,-0.00698730016909604
2003,2003,-0.0118683427819988
2004,2004,-0.0449484131265813
2005,2005,-0.00935294433378247
2006,2006,-0.000967519469996125
2007,2007,0.00574972411735079
2008,2008,-8.99786233547835e-05
2009,2009,-0.0625691001664267
2010,2010,0.0470292700873383
2011,2011,-0.0110631515209178
2012,2012,0.0109899827571228
2013,2013,-0.00733224263606662
2014,2014,-0.014308433238387
2015,2015,-0.0185176858262641
2016,2016,-0.0213854705613536
2017,2017,-0.027059764350851
2018,2018,-0.0190689132197617
