w.weights,unit.names,unit.numbers
122,0,Vidin,122
123,0,Montana,123
124,0.001,Vratsa,124
125,0.001,Pleven,125
126,0,Lovech,126
127,0.001,Veliko Tarnovo,127
128,0.001,Gabrovo,128
129,0.004,Ruse,129
130,0.032,Razgrad,130
131,0.001,Silistra,131
132,0.002,Varna,132
133,0,Dobrich,133
134,0.001,Shumen,134
135,0.001,Targovishte,135
136,0.001,Burgas,136
137,0,Sliven,137
138,0,Yambol,138
139,0.001,Stara Zagora,139
140,0.008,Sofia (stolitsa),140
141,0,Sofia,141
142,0.001,Blagoevgrad,142
143,0,Pernik,143
144,0,Kyustendil,144
145,0.001,Plovdiv,145
146,0.001,Haskovo,146
147,0.067,Pazardzhik,147
148,0.035,Smolyan,148
149,0.016,Kardzhali,149
150,0,Hlavní mesto Praha,150
151,0,Stredoceský kraj,151
152,0.001,Jihocecký kraj,152
153,0.001,Plzenský kraj,153
154,0.001,Karlovarský kraj,154
155,0.001,Ústecký kraj,155
156,0,Liberecký kraj,156
157,0,Královéhradecký kraj,157
158,0,Pardubický kraj,158
159,0.001,Kraj Vysocina,159
160,0,Jihomoravský kraj,160
161,0,Olomoucký kraj,161
162,0.001,Zlínský kraj,162
163,0.001,Moravskoslezský kraj,163
164,0,Primorsko-goranska zupanija,164
165,0,Licko-senjska zupanija,165
166,0,Zadarska zupanija,166
167,0,Sibensko-kninska zupanija,167
168,0,Splitsko-dalmatinska zupanija,168
169,0,Istarska zupanija,169
170,0,Dubrovacko-neretvanska zupanija,170
171,0.001,Grad Zagreb,171
172,0,Zagrebacka zupanija,172
173,0.001,Krapinsko-zagorska zupanija,173
174,0.002,Varazdinska zupanija,174
175,0.002,Koprivnicko-krizevacka zupanija,175
176,0.002,Medimurska zupanija,176
177,0.001,Bjelovarsko-bilogorska zupanija,177
178,0.002,Viroviticko-podravska zupanija,178
179,0,Pozesko-slavonska zupanija,179
180,0,Brodsko-posavska zupanija,180
181,0.001,Osjecko-baranjska zupanija,181
