V1,V2
1997,1997,0.033352342156521
1998,1998,0.0029739121266095
1999,1999,-0.0339619053851377
2000,2000,-0.0262331849106298
2001,2001,-0.00616957473525823
2002,2002,-0.00897820263147612
2003,2003,-0.0178151376155693
2004,2004,-0.041109243492866
2005,2005,-0.00919846419278731
2006,2006,0.00795439854634832
2007,2007,0.0046967734788646
2008,2008,-0.00454495970592751
2009,2009,-0.0546446620755976
2010,2010,0.0503346759962338
2011,2011,-0.0145440745354508
2012,2012,0.0165154586673606
2013,2013,-0.0221741295103357
2014,2014,-0.0200572337121054
2015,2015,-0.0212558834524497
2016,2016,-0.0255098656822412
2017,2017,-0.0245101198127979
2018,2018,-0.0161224836679005
