V1,V2
1997,1997,0.0929076251622184
1998,1998,0.0419064967066467
1999,1999,-0.0349209657708657
2000,2000,0.0283730780928866
2001,2001,0.034029093712226
2002,2002,0.0462082599247137
2003,2003,0.0534476005262082
2004,2004,-0.00101379859580127
2005,2005,0.104837843627608
2006,2006,0.0663178756641002
2007,2007,0.111531135566263
2008,2008,-0.126717646584881
2009,2009,-0.207984863122648
2010,2010,0.0168138030123061
2011,2011,0.092172947319264
2012,2012,0.0519043329537482
2013,2013,0.0146394733813943
2014,2014,-0.00855692303264229
2015,2015,-0.0145385913542681
2016,2016,-0.0208898312194855
2017,2017,-0.0311517648521709
2018,2018,-0.0484090197631315
