V1,V2
1997,1997,-0.00743726587041034
1998,1998,-0.000468551587111291
1999,1999,0.0402160751054886
2000,2000,0.0345303505967301
2001,2001,-0.00529748970646376
2002,2002,-0.0179464227081325
2003,2003,-0.029389900422852
2004,2004,-0.000248118967949252
2005,2005,0.00450152906320224
2006,2006,-0.00999711816042927
2007,2007,0.0103887716737089
2008,2008,0.0314977278799463
2009,2009,-0.0261347341729162
2010,2010,0.00812368426266881
2011,2011,-0.0049320471911491
2012,2012,-0.0292918884527415
2013,2013,-0.0123471394188384
2014,2014,0.00679707066183272
2015,2015,-0.0041754087447835
2016,2016,-0.00846748958472472
2017,2017,0.010167629109207
2018,2018,0.0084751511419401
