,date,Uber,metroid
0,2020-03-01,61,US-NC-517
1,2020-03-08,78,US-NC-517
2,2020-03-15,57,US-NC-517
3,2020-03-22,72,US-NC-517
4,2020-03-29,75,US-NC-517
5,2020-04-05,64,US-NC-517
6,2020-04-12,73,US-NC-517
7,2020-04-19,52,US-NC-517
8,2020-04-26,69,US-NC-517
9,2020-05-03,43,US-NC-517
10,2020-05-10,45,US-NC-517
11,2020-05-17,44,US-NC-517
12,2020-05-24,35,US-NC-517
13,2020-05-31,68,US-NC-517
14,2020-06-07,65,US-NC-517
15,2020-06-14,44,US-NC-517
16,2020-06-21,47,US-NC-517
17,2020-06-28,59,US-NC-517
18,2020-07-05,52,US-NC-517
19,2020-07-12,46,US-NC-517
20,2020-07-19,45,US-NC-517
21,2020-07-26,74,US-NC-517
22,2020-08-02,69,US-NC-517
23,2020-08-09,55,US-NC-517
24,2020-08-16,64,US-NC-517
25,2020-08-23,38,US-NC-517
26,2020-08-30,25,US-NC-517
27,2020-09-06,52,US-NC-517
28,2020-09-13,37,US-NC-517
29,2020-09-20,35,US-NC-517
30,2020-09-27,55,US-NC-517
31,2020-10-04,77,US-NC-517
32,2020-10-11,52,US-NC-517
33,2020-10-18,76,US-NC-517
34,2020-10-25,67,US-NC-517
35,2020-11-01,50,US-NC-517
36,2020-11-08,72,US-NC-517
37,2020-11-15,29,US-NC-517
38,2020-11-22,53,US-NC-517
39,2020-11-29,49,US-NC-517
40,2020-12-06,89,US-NC-517
41,2020-12-13,47,US-NC-517
42,2020-12-20,68,US-NC-517
43,2020-12-27,61,US-NC-517
44,2021-01-03,41,US-NC-517
45,2021-01-10,52,US-NC-517
46,2021-01-17,78,US-NC-517
47,2021-01-24,77,US-NC-517
48,2021-01-31,97,US-NC-517
49,2021-02-07,60,US-NC-517
50,2021-02-14,75,US-NC-517
51,2021-02-21,43,US-NC-517
52,2021-02-28,62,US-NC-517
53,2021-03-07,66,US-NC-517
54,2021-03-14,64,US-NC-517
55,2021-03-21,68,US-NC-517
56,2021-03-28,82,US-NC-517
57,2021-04-04,77,US-NC-517
58,2021-04-11,61,US-NC-517
59,2021-04-18,53,US-NC-517
60,2021-04-25,50,US-NC-517
61,2021-05-02,64,US-NC-517
62,2021-05-09,54,US-NC-517
63,2021-05-16,71,US-NC-517
64,2021-05-23,73,US-NC-517
65,2021-05-30,100,US-NC-517
66,2021-06-06,61,US-NC-517
67,2021-06-13,76,US-NC-517
68,2021-06-20,93,US-NC-517
69,2021-06-27,48,US-NC-517
70,2021-07-04,83,US-NC-517
71,2021-07-11,62,US-NC-517
72,2021-07-18,68,US-NC-517
73,2021-07-25,58,US-NC-517
74,2021-08-01,44,US-NC-517
75,2021-08-08,76,US-NC-517
76,2021-08-15,70,US-NC-517
77,2021-08-22,62,US-NC-517
78,2021-08-29,72,US-NC-517
79,2020-03-01,61,US-FL-539
80,2020-03-08,74,US-FL-539
81,2020-03-15,100,US-FL-539
