date,Uber,metroid
2020-03-01,63,US-CA-825
2020-03-08,58,US-CA-825
2020-03-15,84,US-CA-825
2020-03-22,63,US-CA-825
2020-03-29,66,US-CA-825
2020-04-05,37,US-CA-825
2020-04-12,52,US-CA-825
2020-04-19,46,US-CA-825
2020-04-26,33,US-CA-825
2020-05-03,49,US-CA-825
2020-05-10,42,US-CA-825
2020-05-17,31,US-CA-825
2020-05-24,47,US-CA-825
2020-05-31,43,US-CA-825
2020-06-07,44,US-CA-825
2020-06-14,57,US-CA-825
2020-06-21,44,US-CA-825
2020-06-28,49,US-CA-825
2020-07-05,52,US-CA-825
2020-07-12,38,US-CA-825
2020-07-19,30,US-CA-825
2020-07-26,50,US-CA-825
2020-08-02,40,US-CA-825
2020-08-09,58,US-CA-825
2020-08-16,100,US-CA-825
2020-08-23,51,US-CA-825
2020-08-30,41,US-CA-825
2020-09-06,27,US-CA-825
2020-09-13,44,US-CA-825
2020-09-20,41,US-CA-825
2020-09-27,32,US-CA-825
2020-10-04,44,US-CA-825
2020-10-11,52,US-CA-825
2020-10-18,38,US-CA-825
2020-10-25,55,US-CA-825
2020-11-01,55,US-CA-825
2020-11-08,53,US-CA-825
2020-11-15,46,US-CA-825
2020-11-22,50,US-CA-825
2020-11-29,62,US-CA-825
2020-12-06,38,US-CA-825
2020-12-13,59,US-CA-825
2020-12-20,43,US-CA-825
2020-12-27,54,US-CA-825
2021-01-03,40,US-CA-825
2021-01-10,39,US-CA-825
2021-01-17,41,US-CA-825
2021-01-24,42,US-CA-825
2021-01-31,48,US-CA-825
2021-02-07,53,US-CA-825
2021-02-14,45,US-CA-825
2021-02-21,29,US-CA-825
2021-02-28,52,US-CA-825
2021-03-07,53,US-CA-825
2021-03-14,63,US-CA-825
2021-03-21,50,US-CA-825
2021-03-28,49,US-CA-825
2021-04-04,63,US-CA-825
2021-04-11,68,US-CA-825
2021-04-18,43,US-CA-825
2021-04-25,41,US-CA-825
2021-05-02,47,US-CA-825
2021-05-09,49,US-CA-825
2021-05-16,64,US-CA-825
2021-05-23,63,US-CA-825
2021-05-30,57,US-CA-825
2021-06-06,73,US-CA-825
2021-06-13,71,US-CA-825
2021-06-20,52,US-CA-825
2021-06-27,68,US-CA-825
2021-07-04,49,US-CA-825
2021-07-11,64,US-CA-825
2021-07-18,56,US-CA-825
2021-07-25,49,US-CA-825
2021-08-01,52,US-CA-825
2021-08-08,53,US-CA-825
2021-08-15,48,US-CA-825
2021-08-22,52,US-CA-825
2021-08-29,45,US-CA-825
