date,Uber,metroid
2020-03-01,84,US-CO-751
2020-03-08,74,US-CO-751
2020-03-15,82,US-CO-751
2020-03-22,90,US-CO-751
2020-03-29,69,US-CO-751
2020-04-05,62,US-CO-751
2020-04-12,66,US-CO-751
2020-04-19,47,US-CO-751
2020-04-26,54,US-CO-751
2020-05-03,81,US-CO-751
2020-05-10,51,US-CO-751
2020-05-17,68,US-CO-751
2020-05-24,58,US-CO-751
2020-05-31,64,US-CO-751
2020-06-07,43,US-CO-751
2020-06-14,71,US-CO-751
2020-06-21,55,US-CO-751
2020-06-28,56,US-CO-751
2020-07-05,53,US-CO-751
2020-07-12,68,US-CO-751
2020-07-19,48,US-CO-751
2020-07-26,46,US-CO-751
2020-08-02,59,US-CO-751
2020-08-09,75,US-CO-751
2020-08-16,75,US-CO-751
2020-08-23,73,US-CO-751
2020-08-30,43,US-CO-751
2020-09-06,63,US-CO-751
2020-09-13,80,US-CO-751
2020-09-20,70,US-CO-751
2020-09-27,65,US-CO-751
2020-10-04,71,US-CO-751
2020-10-11,47,US-CO-751
2020-10-18,68,US-CO-751
2020-10-25,73,US-CO-751
2020-11-01,57,US-CO-751
2020-11-08,35,US-CO-751
2020-11-15,71,US-CO-751
2020-11-22,59,US-CO-751
2020-11-29,65,US-CO-751
2020-12-06,72,US-CO-751
2020-12-13,70,US-CO-751
2020-12-20,78,US-CO-751
2020-12-27,60,US-CO-751
2021-01-03,70,US-CO-751
2021-01-10,64,US-CO-751
2021-01-17,71,US-CO-751
2021-01-24,64,US-CO-751
2021-01-31,66,US-CO-751
2021-02-07,49,US-CO-751
2021-02-14,75,US-CO-751
2021-02-21,82,US-CO-751
2021-02-28,54,US-CO-751
2021-03-07,56,US-CO-751
2021-03-14,93,US-CO-751
2021-03-21,51,US-CO-751
2021-03-28,100,US-CO-751
2021-04-04,71,US-CO-751
2021-04-11,59,US-CO-751
2021-04-18,98,US-CO-751
2021-04-25,76,US-CO-751
2021-05-02,70,US-CO-751
2021-05-09,69,US-CO-751
2021-05-16,89,US-CO-751
2021-05-23,95,US-CO-751
2021-05-30,78,US-CO-751
2021-06-06,74,US-CO-751
2021-06-13,74,US-CO-751
2021-06-20,79,US-CO-751
2021-06-27,74,US-CO-751
2021-07-04,59,US-CO-751
2021-07-11,97,US-CO-751
2021-07-18,96,US-CO-751
2021-07-25,74,US-CO-751
2021-08-01,71,US-CO-751
2021-08-08,97,US-CO-751
2021-08-15,78,US-CO-751
2021-08-22,91,US-CO-751
2021-08-29,83,US-CO-751
