date,Uber,metroid
2020-03-01,92,US-FL-534
2020-03-08,66,US-FL-534
2020-03-15,83,US-FL-534
2020-03-22,73,US-FL-534
2020-03-29,57,US-FL-534
2020-04-05,59,US-FL-534
2020-04-12,56,US-FL-534
2020-04-19,58,US-FL-534
2020-04-26,42,US-FL-534
2020-05-03,65,US-FL-534
2020-05-10,65,US-FL-534
2020-05-17,44,US-FL-534
2020-05-24,48,US-FL-534
2020-05-31,57,US-FL-534
2020-06-07,29,US-FL-534
2020-06-14,50,US-FL-534
2020-06-21,56,US-FL-534
2020-06-28,57,US-FL-534
2020-07-05,48,US-FL-534
2020-07-12,68,US-FL-534
2020-07-19,52,US-FL-534
2020-07-26,66,US-FL-534
2020-08-02,46,US-FL-534
2020-08-09,69,US-FL-534
2020-08-16,52,US-FL-534
2020-08-23,54,US-FL-534
2020-08-30,52,US-FL-534
2020-09-06,50,US-FL-534
2020-09-13,73,US-FL-534
2020-09-20,53,US-FL-534
2020-09-27,66,US-FL-534
2020-10-04,46,US-FL-534
2020-10-11,60,US-FL-534
2020-10-18,79,US-FL-534
2020-10-25,57,US-FL-534
2020-11-01,60,US-FL-534
2020-11-08,46,US-FL-534
2020-11-15,58,US-FL-534
2020-11-22,48,US-FL-534
2020-11-29,62,US-FL-534
2020-12-06,86,US-FL-534
2020-12-13,63,US-FL-534
2020-12-20,60,US-FL-534
2020-12-27,67,US-FL-534
2021-01-03,68,US-FL-534
2021-01-10,67,US-FL-534
2021-01-17,55,US-FL-534
2021-01-24,83,US-FL-534
2021-01-31,52,US-FL-534
2021-02-07,77,US-FL-534
2021-02-14,83,US-FL-534
2021-02-21,73,US-FL-534
2021-02-28,67,US-FL-534
2021-03-07,82,US-FL-534
2021-03-14,92,US-FL-534
2021-03-21,72,US-FL-534
2021-03-28,69,US-FL-534
2021-04-04,92,US-FL-534
2021-04-11,100,US-FL-534
2021-04-18,64,US-FL-534
2021-04-25,79,US-FL-534
2021-05-02,75,US-FL-534
2021-05-09,89,US-FL-534
2021-05-16,65,US-FL-534
2021-05-23,63,US-FL-534
2021-05-30,91,US-FL-534
2021-06-06,67,US-FL-534
2021-06-13,92,US-FL-534
2021-06-20,85,US-FL-534
2021-06-27,83,US-FL-534
2021-07-04,87,US-FL-534
2021-07-11,86,US-FL-534
2021-07-18,56,US-FL-534
2021-07-25,59,US-FL-534
2021-08-01,88,US-FL-534
2021-08-08,67,US-FL-534
2021-08-15,82,US-FL-534
2021-08-22,71,US-FL-534
2021-08-29,70,US-FL-534
