date,Uber,metroid
2020-03-01,98,US-GA-524
2020-03-08,100,US-GA-524
2020-03-15,94,US-GA-524
2020-03-22,92,US-GA-524
2020-03-29,86,US-GA-524
2020-04-05,79,US-GA-524
2020-04-12,71,US-GA-524
2020-04-19,72,US-GA-524
2020-04-26,62,US-GA-524
2020-05-03,81,US-GA-524
2020-05-10,71,US-GA-524
2020-05-17,78,US-GA-524
2020-05-24,56,US-GA-524
2020-05-31,59,US-GA-524
2020-06-07,83,US-GA-524
2020-06-14,59,US-GA-524
2020-06-21,65,US-GA-524
2020-06-28,83,US-GA-524
2020-07-05,99,US-GA-524
2020-07-12,86,US-GA-524
2020-07-19,72,US-GA-524
2020-07-26,90,US-GA-524
2020-08-02,83,US-GA-524
2020-08-09,57,US-GA-524
2020-08-16,67,US-GA-524
2020-08-23,53,US-GA-524
2020-08-30,60,US-GA-524
2020-09-06,75,US-GA-524
2020-09-13,70,US-GA-524
2020-09-20,75,US-GA-524
2020-09-27,80,US-GA-524
2020-10-04,57,US-GA-524
2020-10-11,89,US-GA-524
2020-10-18,71,US-GA-524
2020-10-25,81,US-GA-524
2020-11-01,64,US-GA-524
2020-11-08,69,US-GA-524
2020-11-15,86,US-GA-524
2020-11-22,67,US-GA-524
2020-11-29,65,US-GA-524
2020-12-06,63,US-GA-524
2020-12-13,69,US-GA-524
2020-12-20,88,US-GA-524
2020-12-27,64,US-GA-524
2021-01-03,55,US-GA-524
2021-01-10,76,US-GA-524
2021-01-17,57,US-GA-524
2021-01-24,77,US-GA-524
2021-01-31,74,US-GA-524
2021-02-07,89,US-GA-524
2021-02-14,95,US-GA-524
2021-02-21,79,US-GA-524
2021-02-28,71,US-GA-524
2021-03-07,77,US-GA-524
2021-03-14,79,US-GA-524
2021-03-21,79,US-GA-524
2021-03-28,96,US-GA-524
2021-04-04,80,US-GA-524
2021-04-11,84,US-GA-524
2021-04-18,75,US-GA-524
2021-04-25,77,US-GA-524
2021-05-02,85,US-GA-524
2021-05-09,91,US-GA-524
2021-05-16,84,US-GA-524
2021-05-23,94,US-GA-524
2021-05-30,74,US-GA-524
2021-06-06,91,US-GA-524
2021-06-13,75,US-GA-524
2021-06-20,91,US-GA-524
2021-06-27,81,US-GA-524
2021-07-04,95,US-GA-524
2021-07-11,83,US-GA-524
2021-07-18,71,US-GA-524
2021-07-25,99,US-GA-524
2021-08-01,92,US-GA-524
2021-08-08,77,US-GA-524
2021-08-15,81,US-GA-524
2021-08-22,82,US-GA-524
2021-08-29,63,US-GA-524
