date,Uber,metroid
2020-03-01,92,US-IL-602
2020-03-08,76,US-IL-602
2020-03-15,100,US-IL-602
2020-03-22,92,US-IL-602
2020-03-29,70,US-IL-602
2020-04-05,77,US-IL-602
2020-04-12,72,US-IL-602
2020-04-19,56,US-IL-602
2020-04-26,67,US-IL-602
2020-05-03,71,US-IL-602
2020-05-10,69,US-IL-602
2020-05-17,71,US-IL-602
2020-05-24,65,US-IL-602
2020-05-31,65,US-IL-602
2020-06-07,56,US-IL-602
2020-06-14,59,US-IL-602
2020-06-21,63,US-IL-602
2020-06-28,66,US-IL-602
2020-07-05,72,US-IL-602
2020-07-12,66,US-IL-602
2020-07-19,58,US-IL-602
2020-07-26,58,US-IL-602
2020-08-02,54,US-IL-602
2020-08-09,59,US-IL-602
2020-08-16,59,US-IL-602
2020-08-23,55,US-IL-602
2020-08-30,51,US-IL-602
2020-09-06,48,US-IL-602
2020-09-13,56,US-IL-602
2020-09-20,51,US-IL-602
2020-09-27,61,US-IL-602
2020-10-04,56,US-IL-602
2020-10-11,66,US-IL-602
2020-10-18,49,US-IL-602
2020-10-25,60,US-IL-602
2020-11-01,57,US-IL-602
2020-11-08,61,US-IL-602
2020-11-15,64,US-IL-602
2020-11-22,57,US-IL-602
2020-11-29,55,US-IL-602
2020-12-06,55,US-IL-602
2020-12-13,58,US-IL-602
2020-12-20,52,US-IL-602
2020-12-27,54,US-IL-602
2021-01-03,47,US-IL-602
2021-01-10,61,US-IL-602
2021-01-17,54,US-IL-602
2021-01-24,51,US-IL-602
2021-01-31,77,US-IL-602
2021-02-07,73,US-IL-602
2021-02-14,64,US-IL-602
2021-02-21,60,US-IL-602
2021-02-28,52,US-IL-602
2021-03-07,52,US-IL-602
2021-03-14,69,US-IL-602
2021-03-21,59,US-IL-602
2021-03-28,69,US-IL-602
2021-04-04,69,US-IL-602
2021-04-11,45,US-IL-602
2021-04-18,62,US-IL-602
2021-04-25,65,US-IL-602
2021-05-02,51,US-IL-602
2021-05-09,52,US-IL-602
2021-05-16,62,US-IL-602
2021-05-23,69,US-IL-602
2021-05-30,66,US-IL-602
2021-06-06,54,US-IL-602
2021-06-13,57,US-IL-602
2021-06-20,58,US-IL-602
2021-06-27,75,US-IL-602
2021-07-04,58,US-IL-602
2021-07-11,67,US-IL-602
2021-07-18,64,US-IL-602
2021-07-25,72,US-IL-602
2021-08-01,60,US-IL-602
2021-08-08,65,US-IL-602
2021-08-15,61,US-IL-602
2021-08-22,54,US-IL-602
2021-08-29,54,US-IL-602
