date,Uber,metroid
2020-03-01,80,US-MA-506
2020-03-08,86,US-MA-506
2020-03-15,100,US-MA-506
2020-03-22,76,US-MA-506
2020-03-29,98,US-MA-506
2020-04-05,58,US-MA-506
2020-04-12,72,US-MA-506
2020-04-19,62,US-MA-506
2020-04-26,57,US-MA-506
2020-05-03,59,US-MA-506
2020-05-10,72,US-MA-506
2020-05-17,73,US-MA-506
2020-05-24,61,US-MA-506
2020-05-31,55,US-MA-506
2020-06-07,58,US-MA-506
2020-06-14,64,US-MA-506
2020-06-21,46,US-MA-506
2020-06-28,62,US-MA-506
2020-07-05,56,US-MA-506
2020-07-12,47,US-MA-506
2020-07-19,46,US-MA-506
2020-07-26,68,US-MA-506
2020-08-02,66,US-MA-506
2020-08-09,51,US-MA-506
2020-08-16,77,US-MA-506
2020-08-23,57,US-MA-506
2020-08-30,52,US-MA-506
2020-09-06,59,US-MA-506
2020-09-13,50,US-MA-506
2020-09-20,47,US-MA-506
2020-09-27,55,US-MA-506
2020-10-04,42,US-MA-506
2020-10-11,60,US-MA-506
2020-10-18,57,US-MA-506
2020-10-25,58,US-MA-506
2020-11-01,65,US-MA-506
2020-11-08,61,US-MA-506
2020-11-15,80,US-MA-506
2020-11-22,43,US-MA-506
2020-11-29,60,US-MA-506
2020-12-06,61,US-MA-506
2020-12-13,69,US-MA-506
2020-12-20,48,US-MA-506
2020-12-27,64,US-MA-506
2021-01-03,66,US-MA-506
2021-01-10,51,US-MA-506
2021-01-17,46,US-MA-506
2021-01-24,50,US-MA-506
2021-01-31,63,US-MA-506
2021-02-07,75,US-MA-506
2021-02-14,61,US-MA-506
2021-02-21,74,US-MA-506
2021-02-28,75,US-MA-506
2021-03-07,70,US-MA-506
2021-03-14,71,US-MA-506
2021-03-21,75,US-MA-506
2021-03-28,80,US-MA-506
2021-04-04,74,US-MA-506
2021-04-11,76,US-MA-506
2021-04-18,69,US-MA-506
2021-04-25,66,US-MA-506
2021-05-02,83,US-MA-506
2021-05-09,80,US-MA-506
2021-05-16,74,US-MA-506
2021-05-23,78,US-MA-506
2021-05-30,59,US-MA-506
2021-06-06,70,US-MA-506
2021-06-13,78,US-MA-506
2021-06-20,78,US-MA-506
2021-06-27,57,US-MA-506
2021-07-04,71,US-MA-506
2021-07-11,98,US-MA-506
2021-07-18,59,US-MA-506
2021-07-25,70,US-MA-506
2021-08-01,86,US-MA-506
2021-08-08,56,US-MA-506
2021-08-15,52,US-MA-506
2021-08-22,71,US-MA-506
2021-08-29,64,US-MA-506
