date,Uber,metroid
2020-03-01,76,US-MD-512
2020-03-08,85,US-MD-512
2020-03-15,94,US-MD-512
2020-03-22,100,US-MD-512
2020-03-29,96,US-MD-512
2020-04-05,65,US-MD-512
2020-04-12,76,US-MD-512
2020-04-19,67,US-MD-512
2020-04-26,52,US-MD-512
2020-05-03,46,US-MD-512
2020-05-10,49,US-MD-512
2020-05-17,54,US-MD-512
2020-05-24,42,US-MD-512
2020-05-31,54,US-MD-512
2020-06-07,66,US-MD-512
2020-06-14,51,US-MD-512
2020-06-21,77,US-MD-512
2020-06-28,48,US-MD-512
2020-07-05,75,US-MD-512
2020-07-12,70,US-MD-512
2020-07-19,73,US-MD-512
2020-07-26,68,US-MD-512
2020-08-02,58,US-MD-512
2020-08-09,71,US-MD-512
2020-08-16,41,US-MD-512
2020-08-23,62,US-MD-512
2020-08-30,60,US-MD-512
2020-09-06,56,US-MD-512
2020-09-13,63,US-MD-512
2020-09-20,67,US-MD-512
2020-09-27,46,US-MD-512
2020-10-04,59,US-MD-512
2020-10-11,68,US-MD-512
2020-10-18,68,US-MD-512
2020-10-25,86,US-MD-512
2020-11-01,70,US-MD-512
2020-11-08,60,US-MD-512
2020-11-15,48,US-MD-512
2020-11-22,54,US-MD-512
2020-11-29,88,US-MD-512
2020-12-06,65,US-MD-512
2020-12-13,72,US-MD-512
2020-12-20,85,US-MD-512
2020-12-27,45,US-MD-512
2021-01-03,70,US-MD-512
2021-01-10,59,US-MD-512
2021-01-17,85,US-MD-512
2021-01-24,90,US-MD-512
2021-01-31,43,US-MD-512
2021-02-07,51,US-MD-512
2021-02-14,62,US-MD-512
2021-02-21,56,US-MD-512
2021-02-28,90,US-MD-512
2021-03-07,36,US-MD-512
2021-03-14,81,US-MD-512
2021-03-21,48,US-MD-512
2021-03-28,75,US-MD-512
2021-04-04,92,US-MD-512
2021-04-11,63,US-MD-512
2021-04-18,40,US-MD-512
2021-04-25,72,US-MD-512
2021-05-02,42,US-MD-512
2021-05-09,55,US-MD-512
2021-05-16,49,US-MD-512
2021-05-23,76,US-MD-512
2021-05-30,65,US-MD-512
2021-06-06,52,US-MD-512
2021-06-13,63,US-MD-512
2021-06-20,68,US-MD-512
2021-06-27,70,US-MD-512
2021-07-04,46,US-MD-512
2021-07-11,73,US-MD-512
2021-07-18,81,US-MD-512
2021-07-25,77,US-MD-512
2021-08-01,59,US-MD-512
2021-08-08,65,US-MD-512
2021-08-15,74,US-MD-512
2021-08-22,64,US-MD-512
2021-08-29,73,US-MD-512
