date,Uber,metroid
2020-03-01,91,US-MI-505
2020-03-08,66,US-MI-505
2020-03-15,100,US-MI-505
2020-03-22,72,US-MI-505
2020-03-29,57,US-MI-505
2020-04-05,52,US-MI-505
2020-04-12,44,US-MI-505
2020-04-19,36,US-MI-505
2020-04-26,57,US-MI-505
2020-05-03,70,US-MI-505
2020-05-10,63,US-MI-505
2020-05-17,76,US-MI-505
2020-05-24,49,US-MI-505
2020-05-31,38,US-MI-505
2020-06-07,49,US-MI-505
2020-06-14,53,US-MI-505
2020-06-21,67,US-MI-505
2020-06-28,57,US-MI-505
2020-07-05,66,US-MI-505
2020-07-12,58,US-MI-505
2020-07-19,42,US-MI-505
2020-07-26,47,US-MI-505
2020-08-02,44,US-MI-505
2020-08-09,37,US-MI-505
2020-08-16,63,US-MI-505
2020-08-23,45,US-MI-505
2020-08-30,23,US-MI-505
2020-09-06,41,US-MI-505
2020-09-13,65,US-MI-505
2020-09-20,58,US-MI-505
2020-09-27,67,US-MI-505
2020-10-04,28,US-MI-505
2020-10-11,40,US-MI-505
2020-10-18,50,US-MI-505
2020-10-25,49,US-MI-505
2020-11-01,60,US-MI-505
2020-11-08,70,US-MI-505
2020-11-15,67,US-MI-505
2020-11-22,48,US-MI-505
2020-11-29,55,US-MI-505
2020-12-06,56,US-MI-505
2020-12-13,62,US-MI-505
2020-12-20,42,US-MI-505
2020-12-27,57,US-MI-505
2021-01-03,40,US-MI-505
2021-01-10,51,US-MI-505
2021-01-17,51,US-MI-505
2021-01-24,51,US-MI-505
2021-01-31,60,US-MI-505
2021-02-07,55,US-MI-505
2021-02-14,74,US-MI-505
2021-02-21,80,US-MI-505
2021-02-28,39,US-MI-505
2021-03-07,48,US-MI-505
2021-03-14,40,US-MI-505
2021-03-21,81,US-MI-505
2021-03-28,84,US-MI-505
2021-04-04,43,US-MI-505
2021-04-11,40,US-MI-505
2021-04-18,53,US-MI-505
2021-04-25,46,US-MI-505
2021-05-02,56,US-MI-505
2021-05-09,51,US-MI-505
2021-05-16,63,US-MI-505
2021-05-23,36,US-MI-505
2021-05-30,46,US-MI-505
2021-06-06,49,US-MI-505
2021-06-13,54,US-MI-505
2021-06-20,60,US-MI-505
2021-06-27,57,US-MI-505
2021-07-04,38,US-MI-505
2021-07-11,51,US-MI-505
2021-07-18,41,US-MI-505
2021-07-25,49,US-MI-505
2021-08-01,38,US-MI-505
2021-08-08,47,US-MI-505
2021-08-15,60,US-MI-505
2021-08-22,56,US-MI-505
2021-08-29,35,US-MI-505
