date,Uber,metroid
2020-03-01,88,US-MN-613
2020-03-08,80,US-MN-613
2020-03-15,94,US-MN-613
2020-03-22,98,US-MN-613
2020-03-29,79,US-MN-613
2020-04-05,67,US-MN-613
2020-04-12,76,US-MN-613
2020-04-19,69,US-MN-613
2020-04-26,40,US-MN-613
2020-05-03,89,US-MN-613
2020-05-10,43,US-MN-613
2020-05-17,43,US-MN-613
2020-05-24,62,US-MN-613
2020-05-31,61,US-MN-613
2020-06-07,72,US-MN-613
2020-06-14,90,US-MN-613
2020-06-21,61,US-MN-613
2020-06-28,81,US-MN-613
2020-07-05,90,US-MN-613
2020-07-12,70,US-MN-613
2020-07-19,81,US-MN-613
2020-07-26,39,US-MN-613
2020-08-02,57,US-MN-613
2020-08-09,49,US-MN-613
2020-08-16,54,US-MN-613
2020-08-23,57,US-MN-613
2020-08-30,46,US-MN-613
2020-09-06,48,US-MN-613
2020-09-13,51,US-MN-613
2020-09-20,77,US-MN-613
2020-09-27,85,US-MN-613
2020-10-04,72,US-MN-613
2020-10-11,90,US-MN-613
2020-10-18,98,US-MN-613
2020-10-25,82,US-MN-613
2020-11-01,54,US-MN-613
2020-11-08,99,US-MN-613
2020-11-15,81,US-MN-613
2020-11-22,62,US-MN-613
2020-11-29,89,US-MN-613
2020-12-06,86,US-MN-613
2020-12-13,80,US-MN-613
2020-12-20,65,US-MN-613
2020-12-27,81,US-MN-613
2021-01-03,82,US-MN-613
2021-01-10,57,US-MN-613
2021-01-17,77,US-MN-613
2021-01-24,43,US-MN-613
2021-01-31,78,US-MN-613
2021-02-07,100,US-MN-613
2021-02-14,92,US-MN-613
2021-02-21,62,US-MN-613
2021-02-28,100,US-MN-613
2021-03-07,99,US-MN-613
2021-03-14,71,US-MN-613
2021-03-21,43,US-MN-613
2021-03-28,89,US-MN-613
2021-04-04,51,US-MN-613
2021-04-11,86,US-MN-613
2021-04-18,24,US-MN-613
2021-04-25,52,US-MN-613
2021-05-02,68,US-MN-613
2021-05-09,70,US-MN-613
2021-05-16,69,US-MN-613
2021-05-23,92,US-MN-613
2021-05-30,51,US-MN-613
2021-06-06,90,US-MN-613
2021-06-13,100,US-MN-613
2021-06-20,91,US-MN-613
2021-06-27,80,US-MN-613
2021-07-04,81,US-MN-613
2021-07-11,69,US-MN-613
2021-07-18,66,US-MN-613
2021-07-25,76,US-MN-613
2021-08-01,66,US-MN-613
2021-08-08,54,US-MN-613
2021-08-15,92,US-MN-613
2021-08-22,74,US-MN-613
2021-08-29,65,US-MN-613
