date,Uber,metroid
2020-03-01,100,US-MO-609
2020-03-08,60,US-MO-609
2020-03-15,76,US-MO-609
2020-03-22,70,US-MO-609
2020-03-29,46,US-MO-609
2020-04-05,38,US-MO-609
2020-04-12,48,US-MO-609
2020-04-19,47,US-MO-609
2020-04-26,39,US-MO-609
2020-05-03,73,US-MO-609
2020-05-10,61,US-MO-609
2020-05-17,52,US-MO-609
2020-05-24,56,US-MO-609
2020-05-31,46,US-MO-609
2020-06-07,26,US-MO-609
2020-06-14,41,US-MO-609
2020-06-21,38,US-MO-609
2020-06-28,62,US-MO-609
2020-07-05,75,US-MO-609
2020-07-12,46,US-MO-609
2020-07-19,56,US-MO-609
2020-07-26,39,US-MO-609
2020-08-02,61,US-MO-609
2020-08-09,32,US-MO-609
2020-08-16,58,US-MO-609
2020-08-23,38,US-MO-609
2020-08-30,51,US-MO-609
2020-09-06,35,US-MO-609
2020-09-13,51,US-MO-609
2020-09-20,46,US-MO-609
2020-09-27,74,US-MO-609
2020-10-04,39,US-MO-609
2020-10-11,71,US-MO-609
2020-10-18,41,US-MO-609
2020-10-25,67,US-MO-609
2020-11-01,34,US-MO-609
2020-11-08,52,US-MO-609
2020-11-15,53,US-MO-609
2020-11-22,66,US-MO-609
2020-11-29,35,US-MO-609
2020-12-06,51,US-MO-609
2020-12-13,44,US-MO-609
2020-12-20,47,US-MO-609
2020-12-27,44,US-MO-609
2021-01-03,34,US-MO-609
2021-01-10,39,US-MO-609
2021-01-17,36,US-MO-609
2021-01-24,39,US-MO-609
2021-01-31,24,US-MO-609
2021-02-07,51,US-MO-609
2021-02-14,73,US-MO-609
2021-02-21,44,US-MO-609
2021-02-28,49,US-MO-609
2021-03-07,53,US-MO-609
2021-03-14,52,US-MO-609
2021-03-21,57,US-MO-609
2021-03-28,66,US-MO-609
2021-04-04,40,US-MO-609
2021-04-11,33,US-MO-609
2021-04-18,57,US-MO-609
2021-04-25,53,US-MO-609
2021-05-02,85,US-MO-609
2021-05-09,86,US-MO-609
2021-05-16,37,US-MO-609
2021-05-23,55,US-MO-609
2021-05-30,39,US-MO-609
2021-06-06,79,US-MO-609
2021-06-13,70,US-MO-609
2021-06-20,92,US-MO-609
2021-06-27,80,US-MO-609
2021-07-04,39,US-MO-609
2021-07-11,54,US-MO-609
2021-07-18,75,US-MO-609
2021-07-25,62,US-MO-609
2021-08-01,84,US-MO-609
2021-08-08,46,US-MO-609
2021-08-15,72,US-MO-609
2021-08-22,59,US-MO-609
2021-08-29,63,US-MO-609
