date,Uber,metroid
2020-03-01,61,US-NC-517
2020-03-08,78,US-NC-517
2020-03-15,57,US-NC-517
2020-03-22,72,US-NC-517
2020-03-29,75,US-NC-517
2020-04-05,64,US-NC-517
2020-04-12,73,US-NC-517
2020-04-19,52,US-NC-517
2020-04-26,69,US-NC-517
2020-05-03,43,US-NC-517
2020-05-10,45,US-NC-517
2020-05-17,44,US-NC-517
2020-05-24,35,US-NC-517
2020-05-31,68,US-NC-517
2020-06-07,65,US-NC-517
2020-06-14,44,US-NC-517
2020-06-21,47,US-NC-517
2020-06-28,59,US-NC-517
2020-07-05,52,US-NC-517
2020-07-12,46,US-NC-517
2020-07-19,45,US-NC-517
2020-07-26,74,US-NC-517
2020-08-02,69,US-NC-517
2020-08-09,55,US-NC-517
2020-08-16,64,US-NC-517
2020-08-23,38,US-NC-517
2020-08-30,25,US-NC-517
2020-09-06,52,US-NC-517
2020-09-13,37,US-NC-517
2020-09-20,35,US-NC-517
2020-09-27,55,US-NC-517
2020-10-04,77,US-NC-517
2020-10-11,52,US-NC-517
2020-10-18,76,US-NC-517
2020-10-25,67,US-NC-517
2020-11-01,50,US-NC-517
2020-11-08,72,US-NC-517
2020-11-15,29,US-NC-517
2020-11-22,53,US-NC-517
2020-11-29,49,US-NC-517
2020-12-06,89,US-NC-517
2020-12-13,47,US-NC-517
2020-12-20,68,US-NC-517
2020-12-27,61,US-NC-517
2021-01-03,41,US-NC-517
2021-01-10,52,US-NC-517
2021-01-17,78,US-NC-517
2021-01-24,77,US-NC-517
2021-01-31,97,US-NC-517
2021-02-07,60,US-NC-517
2021-02-14,75,US-NC-517
2021-02-21,43,US-NC-517
2021-02-28,62,US-NC-517
2021-03-07,66,US-NC-517
2021-03-14,64,US-NC-517
2021-03-21,68,US-NC-517
2021-03-28,82,US-NC-517
2021-04-04,77,US-NC-517
2021-04-11,61,US-NC-517
2021-04-18,53,US-NC-517
2021-04-25,50,US-NC-517
2021-05-02,64,US-NC-517
2021-05-09,54,US-NC-517
2021-05-16,71,US-NC-517
2021-05-23,73,US-NC-517
2021-05-30,100,US-NC-517
2021-06-06,61,US-NC-517
2021-06-13,76,US-NC-517
2021-06-20,93,US-NC-517
2021-06-27,48,US-NC-517
2021-07-04,83,US-NC-517
2021-07-11,62,US-NC-517
2021-07-18,68,US-NC-517
2021-07-25,58,US-NC-517
2021-08-01,44,US-NC-517
2021-08-08,76,US-NC-517
2021-08-15,70,US-NC-517
2021-08-22,62,US-NC-517
2021-08-29,72,US-NC-517
