date,Uber,metroid
2020-03-01,100,US-NV-839
2020-03-08,80,US-NV-839
2020-03-15,92,US-NV-839
2020-03-22,84,US-NV-839
2020-03-29,57,US-NV-839
2020-04-05,56,US-NV-839
2020-04-12,50,US-NV-839
2020-04-19,53,US-NV-839
2020-04-26,41,US-NV-839
2020-05-03,63,US-NV-839
2020-05-10,48,US-NV-839
2020-05-17,40,US-NV-839
2020-05-24,45,US-NV-839
2020-05-31,39,US-NV-839
2020-06-07,52,US-NV-839
2020-06-14,43,US-NV-839
2020-06-21,52,US-NV-839
2020-06-28,52,US-NV-839
2020-07-05,49,US-NV-839
2020-07-12,65,US-NV-839
2020-07-19,68,US-NV-839
2020-07-26,61,US-NV-839
2020-08-02,76,US-NV-839
2020-08-09,53,US-NV-839
2020-08-16,65,US-NV-839
2020-08-23,38,US-NV-839
2020-08-30,49,US-NV-839
2020-09-06,45,US-NV-839
2020-09-13,55,US-NV-839
2020-09-20,46,US-NV-839
2020-09-27,64,US-NV-839
2020-10-04,60,US-NV-839
2020-10-11,59,US-NV-839
2020-10-18,57,US-NV-839
2020-10-25,55,US-NV-839
2020-11-01,44,US-NV-839
2020-11-08,35,US-NV-839
2020-11-15,57,US-NV-839
2020-11-22,36,US-NV-839
2020-11-29,60,US-NV-839
2020-12-06,38,US-NV-839
2020-12-13,53,US-NV-839
2020-12-20,67,US-NV-839
2020-12-27,49,US-NV-839
2021-01-03,72,US-NV-839
2021-01-10,59,US-NV-839
2021-01-17,42,US-NV-839
2021-01-24,33,US-NV-839
2021-01-31,54,US-NV-839
2021-02-07,51,US-NV-839
2021-02-14,37,US-NV-839
2021-02-21,55,US-NV-839
2021-02-28,60,US-NV-839
2021-03-07,79,US-NV-839
2021-03-14,89,US-NV-839
2021-03-21,36,US-NV-839
2021-03-28,73,US-NV-839
2021-04-04,72,US-NV-839
2021-04-11,63,US-NV-839
2021-04-18,64,US-NV-839
2021-04-25,67,US-NV-839
2021-05-02,56,US-NV-839
2021-05-09,80,US-NV-839
2021-05-16,69,US-NV-839
2021-05-23,96,US-NV-839
2021-05-30,95,US-NV-839
2021-06-06,94,US-NV-839
2021-06-13,89,US-NV-839
2021-06-20,95,US-NV-839
2021-06-27,66,US-NV-839
2021-07-04,79,US-NV-839
2021-07-11,82,US-NV-839
2021-07-18,80,US-NV-839
2021-07-25,98,US-NV-839
2021-08-01,98,US-NV-839
2021-08-08,65,US-NV-839
2021-08-15,67,US-NV-839
2021-08-22,95,US-NV-839
2021-08-29,65,US-NV-839
