date,Uber,metroid
2020-03-01,77,US-NY-501
2020-03-08,70,US-NY-501
2020-03-15,100,US-NY-501
2020-03-22,87,US-NY-501
2020-03-29,64,US-NY-501
2020-04-05,61,US-NY-501
2020-04-12,68,US-NY-501
2020-04-19,55,US-NY-501
2020-04-26,58,US-NY-501
2020-05-03,68,US-NY-501
2020-05-10,67,US-NY-501
2020-05-17,63,US-NY-501
2020-05-24,60,US-NY-501
2020-05-31,57,US-NY-501
2020-06-07,55,US-NY-501
2020-06-14,61,US-NY-501
2020-06-21,56,US-NY-501
2020-06-28,60,US-NY-501
2020-07-05,69,US-NY-501
2020-07-12,57,US-NY-501
2020-07-19,59,US-NY-501
2020-07-26,64,US-NY-501
2020-08-02,66,US-NY-501
2020-08-09,60,US-NY-501
2020-08-16,60,US-NY-501
2020-08-23,57,US-NY-501
2020-08-30,58,US-NY-501
2020-09-06,52,US-NY-501
2020-09-13,51,US-NY-501
2020-09-20,61,US-NY-501
2020-09-27,60,US-NY-501
2020-10-04,59,US-NY-501
2020-10-11,60,US-NY-501
2020-10-18,54,US-NY-501
2020-10-25,54,US-NY-501
2020-11-01,48,US-NY-501
2020-11-08,61,US-NY-501
2020-11-15,56,US-NY-501
2020-11-22,56,US-NY-501
2020-11-29,56,US-NY-501
2020-12-06,62,US-NY-501
2020-12-13,57,US-NY-501
2020-12-20,51,US-NY-501
2020-12-27,56,US-NY-501
2021-01-03,55,US-NY-501
2021-01-10,57,US-NY-501
2021-01-17,57,US-NY-501
2021-01-24,52,US-NY-501
2021-01-31,64,US-NY-501
2021-02-07,62,US-NY-501
2021-02-14,60,US-NY-501
2021-02-21,62,US-NY-501
2021-02-28,53,US-NY-501
2021-03-07,68,US-NY-501
2021-03-14,63,US-NY-501
2021-03-21,63,US-NY-501
2021-03-28,81,US-NY-501
2021-04-04,67,US-NY-501
2021-04-11,63,US-NY-501
2021-04-18,57,US-NY-501
2021-04-25,51,US-NY-501
2021-05-02,60,US-NY-501
2021-05-09,67,US-NY-501
2021-05-16,65,US-NY-501
2021-05-23,66,US-NY-501
2021-05-30,59,US-NY-501
2021-06-06,65,US-NY-501
2021-06-13,61,US-NY-501
2021-06-20,64,US-NY-501
2021-06-27,57,US-NY-501
2021-07-04,63,US-NY-501
2021-07-11,59,US-NY-501
2021-07-18,55,US-NY-501
2021-07-25,60,US-NY-501
2021-08-01,65,US-NY-501
2021-08-08,71,US-NY-501
2021-08-15,61,US-NY-501
2021-08-22,61,US-NY-501
2021-08-29,54,US-NY-501
