date,Uber,metroid
2020-03-01,52,US-OH-515
2020-03-08,67,US-OH-515
2020-03-15,79,US-OH-515
2020-03-22,58,US-OH-515
2020-03-29,78,US-OH-515
2020-04-05,78,US-OH-515
2020-04-12,39,US-OH-515
2020-04-19,74,US-OH-515
2020-04-26,24,US-OH-515
2020-05-03,75,US-OH-515
2020-05-10,29,US-OH-515
2020-05-17,54,US-OH-515
2020-05-24,40,US-OH-515
2020-05-31,57,US-OH-515
2020-06-07,31,US-OH-515
2020-06-14,41,US-OH-515
2020-06-21,64,US-OH-515
2020-06-28,47,US-OH-515
2020-07-05,42,US-OH-515
2020-07-12,47,US-OH-515
2020-07-19,61,US-OH-515
2020-07-26,52,US-OH-515
2020-08-02,61,US-OH-515
2020-08-09,47,US-OH-515
2020-08-16,51,US-OH-515
2020-08-23,66,US-OH-515
2020-08-30,43,US-OH-515
2020-09-06,49,US-OH-515
2020-09-13,34,US-OH-515
2020-09-20,56,US-OH-515
2020-09-27,59,US-OH-515
2020-10-04,56,US-OH-515
2020-10-11,68,US-OH-515
2020-10-18,41,US-OH-515
2020-10-25,52,US-OH-515
2020-11-01,81,US-OH-515
2020-11-08,44,US-OH-515
2020-11-15,51,US-OH-515
2020-11-22,88,US-OH-515
2020-11-29,78,US-OH-515
2020-12-06,44,US-OH-515
2020-12-13,69,US-OH-515
2020-12-20,32,US-OH-515
2020-12-27,56,US-OH-515
2021-01-03,29,US-OH-515
2021-01-10,62,US-OH-515
2021-01-17,44,US-OH-515
2021-01-24,78,US-OH-515
2021-01-31,49,US-OH-515
2021-02-07,50,US-OH-515
2021-02-14,70,US-OH-515
2021-02-21,61,US-OH-515
2021-02-28,70,US-OH-515
2021-03-07,46,US-OH-515
2021-03-14,51,US-OH-515
2021-03-21,80,US-OH-515
2021-03-28,92,US-OH-515
2021-04-04,47,US-OH-515
2021-04-11,46,US-OH-515
2021-04-18,77,US-OH-515
2021-04-25,56,US-OH-515
2021-05-02,62,US-OH-515
2021-05-09,100,US-OH-515
2021-05-16,47,US-OH-515
2021-05-23,37,US-OH-515
2021-05-30,65,US-OH-515
2021-06-06,32,US-OH-515
2021-06-13,63,US-OH-515
2021-06-20,70,US-OH-515
2021-06-27,79,US-OH-515
2021-07-04,43,US-OH-515
2021-07-11,46,US-OH-515
2021-07-18,69,US-OH-515
2021-07-25,88,US-OH-515
2021-08-01,53,US-OH-515
2021-08-08,48,US-OH-515
2021-08-15,42,US-OH-515
2021-08-22,26,US-OH-515
2021-08-29,53,US-OH-515
