date,Uber,metroid
2020-03-01,63,US-OR-820
2020-03-08,64,US-OR-820
2020-03-15,83,US-OR-820
2020-03-22,67,US-OR-820
2020-03-29,78,US-OR-820
2020-04-05,58,US-OR-820
2020-04-12,46,US-OR-820
2020-04-19,45,US-OR-820
2020-04-26,55,US-OR-820
2020-05-03,80,US-OR-820
2020-05-10,75,US-OR-820
2020-05-17,69,US-OR-820
2020-05-24,45,US-OR-820
2020-05-31,53,US-OR-820
2020-06-07,41,US-OR-820
2020-06-14,62,US-OR-820
2020-06-21,44,US-OR-820
2020-06-28,60,US-OR-820
2020-07-05,72,US-OR-820
2020-07-12,81,US-OR-820
2020-07-19,46,US-OR-820
2020-07-26,47,US-OR-820
2020-08-02,49,US-OR-820
2020-08-09,58,US-OR-820
2020-08-16,60,US-OR-820
2020-08-23,61,US-OR-820
2020-08-30,63,US-OR-820
2020-09-06,38,US-OR-820
2020-09-13,45,US-OR-820
2020-09-20,83,US-OR-820
2020-09-27,42,US-OR-820
2020-10-04,55,US-OR-820
2020-10-11,44,US-OR-820
2020-10-18,51,US-OR-820
2020-10-25,79,US-OR-820
2020-11-01,45,US-OR-820
2020-11-08,58,US-OR-820
2020-11-15,82,US-OR-820
2020-11-22,50,US-OR-820
2020-11-29,51,US-OR-820
2020-12-06,62,US-OR-820
2020-12-13,50,US-OR-820
2020-12-20,59,US-OR-820
2020-12-27,56,US-OR-820
2021-01-03,45,US-OR-820
2021-01-10,55,US-OR-820
2021-01-17,55,US-OR-820
2021-01-24,61,US-OR-820
2021-01-31,76,US-OR-820
2021-02-07,63,US-OR-820
2021-02-14,55,US-OR-820
2021-02-21,86,US-OR-820
2021-02-28,74,US-OR-820
2021-03-07,57,US-OR-820
2021-03-14,45,US-OR-820
2021-03-21,52,US-OR-820
2021-03-28,96,US-OR-820
2021-04-04,49,US-OR-820
2021-04-11,82,US-OR-820
2021-04-18,27,US-OR-820
2021-04-25,91,US-OR-820
2021-05-02,54,US-OR-820
2021-05-09,54,US-OR-820
2021-05-16,61,US-OR-820
2021-05-23,68,US-OR-820
2021-05-30,72,US-OR-820
2021-06-06,50,US-OR-820
2021-06-13,100,US-OR-820
2021-06-20,58,US-OR-820
2021-06-27,47,US-OR-820
2021-07-04,49,US-OR-820
2021-07-11,68,US-OR-820
2021-07-18,65,US-OR-820
2021-07-25,84,US-OR-820
2021-08-01,44,US-OR-820
2021-08-08,43,US-OR-820
2021-08-15,58,US-OR-820
2021-08-22,57,US-OR-820
2021-08-29,79,US-OR-820
