date,Uber,metroid
2020-03-01,93,US-PA-508
2020-03-08,81,US-PA-508
2020-03-15,100,US-PA-508
2020-03-22,87,US-PA-508
2020-03-29,52,US-PA-508
2020-04-05,52,US-PA-508
2020-04-12,76,US-PA-508
2020-04-19,68,US-PA-508
2020-04-26,63,US-PA-508
2020-05-03,55,US-PA-508
2020-05-10,43,US-PA-508
2020-05-17,63,US-PA-508
2020-05-24,39,US-PA-508
2020-05-31,57,US-PA-508
2020-06-07,59,US-PA-508
2020-06-14,50,US-PA-508
2020-06-21,51,US-PA-508
2020-06-28,42,US-PA-508
2020-07-05,27,US-PA-508
2020-07-12,52,US-PA-508
2020-07-19,49,US-PA-508
2020-07-26,85,US-PA-508
2020-08-02,49,US-PA-508
2020-08-09,56,US-PA-508
2020-08-16,49,US-PA-508
2020-08-23,46,US-PA-508
2020-08-30,63,US-PA-508
2020-09-06,64,US-PA-508
2020-09-13,52,US-PA-508
2020-09-20,46,US-PA-508
2020-09-27,48,US-PA-508
2020-10-04,46,US-PA-508
2020-10-11,57,US-PA-508
2020-10-18,26,US-PA-508
2020-10-25,41,US-PA-508
2020-11-01,63,US-PA-508
2020-11-08,54,US-PA-508
2020-11-15,47,US-PA-508
2020-11-22,59,US-PA-508
2020-11-29,68,US-PA-508
2020-12-06,67,US-PA-508
2020-12-13,65,US-PA-508
2020-12-20,27,US-PA-508
2020-12-27,48,US-PA-508
2021-01-03,53,US-PA-508
2021-01-10,44,US-PA-508
2021-01-17,53,US-PA-508
2021-01-24,80,US-PA-508
2021-01-31,53,US-PA-508
2021-02-07,53,US-PA-508
2021-02-14,36,US-PA-508
2021-02-21,68,US-PA-508
2021-02-28,58,US-PA-508
2021-03-07,88,US-PA-508
2021-03-14,34,US-PA-508
2021-03-21,62,US-PA-508
2021-03-28,52,US-PA-508
2021-04-04,75,US-PA-508
2021-04-11,91,US-PA-508
2021-04-18,40,US-PA-508
2021-04-25,47,US-PA-508
2021-05-02,59,US-PA-508
2021-05-09,65,US-PA-508
2021-05-16,86,US-PA-508
2021-05-23,72,US-PA-508
2021-05-30,69,US-PA-508
2021-06-06,47,US-PA-508
2021-06-13,67,US-PA-508
2021-06-20,43,US-PA-508
2021-06-27,44,US-PA-508
2021-07-04,72,US-PA-508
2021-07-11,54,US-PA-508
2021-07-18,36,US-PA-508
2021-07-25,35,US-PA-508
2021-08-01,79,US-PA-508
2021-08-08,47,US-PA-508
2021-08-15,73,US-PA-508
2021-08-22,42,US-PA-508
2021-08-29,50,US-PA-508
