date,Uber,metroid
2020-03-01,80,US-TX-618
2020-03-08,77,US-TX-618
2020-03-15,75,US-TX-618
2020-03-22,75,US-TX-618
2020-03-29,60,US-TX-618
2020-04-05,52,US-TX-618
2020-04-12,63,US-TX-618
2020-04-19,57,US-TX-618
2020-04-26,59,US-TX-618
2020-05-03,78,US-TX-618
2020-05-10,68,US-TX-618
2020-05-17,59,US-TX-618
2020-05-24,61,US-TX-618
2020-05-31,73,US-TX-618
2020-06-07,73,US-TX-618
2020-06-14,52,US-TX-618
2020-06-21,65,US-TX-618
2020-06-28,64,US-TX-618
2020-07-05,52,US-TX-618
2020-07-12,54,US-TX-618
2020-07-19,49,US-TX-618
2020-07-26,62,US-TX-618
2020-08-02,69,US-TX-618
2020-08-09,58,US-TX-618
2020-08-16,41,US-TX-618
2020-08-23,63,US-TX-618
2020-08-30,51,US-TX-618
2020-09-06,62,US-TX-618
2020-09-13,67,US-TX-618
2020-09-20,58,US-TX-618
2020-09-27,60,US-TX-618
2020-10-04,54,US-TX-618
2020-10-11,65,US-TX-618
2020-10-18,57,US-TX-618
2020-10-25,60,US-TX-618
2020-11-01,59,US-TX-618
2020-11-08,59,US-TX-618
2020-11-15,79,US-TX-618
2020-11-22,54,US-TX-618
2020-11-29,58,US-TX-618
2020-12-06,66,US-TX-618
2020-12-13,74,US-TX-618
2020-12-20,66,US-TX-618
2020-12-27,49,US-TX-618
2021-01-03,53,US-TX-618
2021-01-10,66,US-TX-618
2021-01-17,75,US-TX-618
2021-01-24,69,US-TX-618
2021-01-31,64,US-TX-618
2021-02-07,41,US-TX-618
2021-02-14,63,US-TX-618
2021-02-21,59,US-TX-618
2021-02-28,73,US-TX-618
2021-03-07,65,US-TX-618
2021-03-14,70,US-TX-618
2021-03-21,76,US-TX-618
2021-03-28,100,US-TX-618
2021-04-04,59,US-TX-618
2021-04-11,84,US-TX-618
2021-04-18,72,US-TX-618
2021-04-25,79,US-TX-618
2021-05-02,85,US-TX-618
2021-05-09,58,US-TX-618
2021-05-16,65,US-TX-618
2021-05-23,68,US-TX-618
2021-05-30,70,US-TX-618
2021-06-06,84,US-TX-618
2021-06-13,71,US-TX-618
2021-06-20,92,US-TX-618
2021-06-27,84,US-TX-618
2021-07-04,59,US-TX-618
2021-07-11,71,US-TX-618
2021-07-18,60,US-TX-618
2021-07-25,76,US-TX-618
2021-08-01,69,US-TX-618
2021-08-08,58,US-TX-618
2021-08-15,85,US-TX-618
2021-08-22,70,US-TX-618
2021-08-29,71,US-TX-618
