date,Uber,metroid
2020-03-01,75,US-VA-511
2020-03-08,74,US-VA-511
2020-03-15,100,US-VA-511
2020-03-22,72,US-VA-511
2020-03-29,93,US-VA-511
2020-04-05,90,US-VA-511
2020-04-12,71,US-VA-511
2020-04-19,68,US-VA-511
2020-04-26,73,US-VA-511
2020-05-03,83,US-VA-511
2020-05-10,73,US-VA-511
2020-05-17,61,US-VA-511
2020-05-24,76,US-VA-511
2020-05-31,73,US-VA-511
2020-06-07,53,US-VA-511
2020-06-14,70,US-VA-511
2020-06-21,74,US-VA-511
2020-06-28,59,US-VA-511
2020-07-05,61,US-VA-511
2020-07-12,68,US-VA-511
2020-07-19,72,US-VA-511
2020-07-26,71,US-VA-511
2020-08-02,65,US-VA-511
2020-08-09,64,US-VA-511
2020-08-16,67,US-VA-511
2020-08-23,69,US-VA-511
2020-08-30,56,US-VA-511
2020-09-06,55,US-VA-511
2020-09-13,58,US-VA-511
2020-09-20,60,US-VA-511
2020-09-27,63,US-VA-511
2020-10-04,60,US-VA-511
2020-10-11,66,US-VA-511
2020-10-18,52,US-VA-511
2020-10-25,51,US-VA-511
2020-11-01,43,US-VA-511
2020-11-08,54,US-VA-511
2020-11-15,44,US-VA-511
2020-11-22,47,US-VA-511
2020-11-29,61,US-VA-511
2020-12-06,59,US-VA-511
2020-12-13,59,US-VA-511
2020-12-20,50,US-VA-511
2020-12-27,73,US-VA-511
2021-01-03,51,US-VA-511
2021-01-10,41,US-VA-511
2021-01-17,47,US-VA-511
2021-01-24,63,US-VA-511
2021-01-31,67,US-VA-511
2021-02-07,75,US-VA-511
2021-02-14,63,US-VA-511
2021-02-21,62,US-VA-511
2021-02-28,62,US-VA-511
2021-03-07,59,US-VA-511
2021-03-14,55,US-VA-511
2021-03-21,60,US-VA-511
2021-03-28,85,US-VA-511
2021-04-04,72,US-VA-511
2021-04-11,65,US-VA-511
2021-04-18,71,US-VA-511
2021-04-25,64,US-VA-511
2021-05-02,88,US-VA-511
2021-05-09,65,US-VA-511
2021-05-16,68,US-VA-511
2021-05-23,92,US-VA-511
2021-05-30,75,US-VA-511
2021-06-06,67,US-VA-511
2021-06-13,67,US-VA-511
2021-06-20,62,US-VA-511
2021-06-27,81,US-VA-511
2021-07-04,74,US-VA-511
2021-07-11,63,US-VA-511
2021-07-18,79,US-VA-511
2021-07-25,69,US-VA-511
2021-08-01,70,US-VA-511
2021-08-08,55,US-VA-511
2021-08-15,72,US-VA-511
2021-08-22,61,US-VA-511
2021-08-29,74,US-VA-511
