date,Uber,metroid
2020-03-01,69,US-WA-819
2020-03-08,62,US-WA-819
2020-03-15,100,US-WA-819
2020-03-22,80,US-WA-819
2020-03-29,80,US-WA-819
2020-04-05,82,US-WA-819
2020-04-12,70,US-WA-819
2020-04-19,66,US-WA-819
2020-04-26,64,US-WA-819
2020-05-03,82,US-WA-819
2020-05-10,54,US-WA-819
2020-05-17,65,US-WA-819
2020-05-24,39,US-WA-819
2020-05-31,49,US-WA-819
2020-06-07,48,US-WA-819
2020-06-14,65,US-WA-819
2020-06-21,64,US-WA-819
2020-06-28,53,US-WA-819
2020-07-05,57,US-WA-819
2020-07-12,71,US-WA-819
2020-07-19,60,US-WA-819
2020-07-26,57,US-WA-819
2020-08-02,67,US-WA-819
2020-08-09,63,US-WA-819
2020-08-16,87,US-WA-819
2020-08-23,71,US-WA-819
2020-08-30,50,US-WA-819
2020-09-06,46,US-WA-819
2020-09-13,47,US-WA-819
2020-09-20,61,US-WA-819
2020-09-27,34,US-WA-819
2020-10-04,41,US-WA-819
2020-10-11,42,US-WA-819
2020-10-18,50,US-WA-819
2020-10-25,35,US-WA-819
2020-11-01,54,US-WA-819
2020-11-08,53,US-WA-819
2020-11-15,61,US-WA-819
2020-11-22,48,US-WA-819
2020-11-29,41,US-WA-819
2020-12-06,59,US-WA-819
2020-12-13,52,US-WA-819
2020-12-20,65,US-WA-819
2020-12-27,65,US-WA-819
2021-01-03,52,US-WA-819
2021-01-10,60,US-WA-819
2021-01-17,47,US-WA-819
2021-01-24,57,US-WA-819
2021-01-31,54,US-WA-819
2021-02-07,55,US-WA-819
2021-02-14,63,US-WA-819
2021-02-21,61,US-WA-819
2021-02-28,35,US-WA-819
2021-03-07,49,US-WA-819
2021-03-14,62,US-WA-819
2021-03-21,49,US-WA-819
2021-03-28,63,US-WA-819
2021-04-04,64,US-WA-819
2021-04-11,68,US-WA-819
2021-04-18,52,US-WA-819
2021-04-25,58,US-WA-819
2021-05-02,55,US-WA-819
2021-05-09,45,US-WA-819
2021-05-16,59,US-WA-819
2021-05-23,55,US-WA-819
2021-05-30,61,US-WA-819
2021-06-06,79,US-WA-819
2021-06-13,59,US-WA-819
2021-06-20,78,US-WA-819
2021-06-27,76,US-WA-819
2021-07-04,70,US-WA-819
2021-07-11,61,US-WA-819
2021-07-18,45,US-WA-819
2021-07-25,47,US-WA-819
2021-08-01,64,US-WA-819
2021-08-08,58,US-WA-819
2021-08-15,46,US-WA-819
2021-08-22,55,US-WA-819
2021-08-29,60,US-WA-819
