id,name,state,state_abb
630,Birmingham AL,Alabama,AL
522,Columbus GA,Alabama,AL
606,Dothan AL,Alabama,AL
691,Huntsville-Decatur (Florence) AL,Alabama,AL
711,Meridian MS,Alabama,AL
686,Mobile AL-Pensacola (Ft. Walton Beach) FL,Alabama,AL
698,Montgomery (Selma) AL,Alabama,AL
743,Anchorage AK,Alaska,AK
745,Fairbanks AK,Alaska,AK
747,Juneau AK,Alaska,AK
753,Phoenix AZ,Arizona,AZ
789,Tucson (Sierra Vista) AZ,Arizona,AZ
771,Yuma AZ-El Centro CA,Arizona,AZ
670,Ft. Smith-Fayetteville-Springdale-Rogers AR,Arkansas,AR
734,Jonesboro AR,Arkansas,AR
693,Little Rock-Pine Bluff AR,Arkansas,AR
640,Memphis TN,Arkansas,AR
628,Monroe LA-El Dorado AR,Arkansas,AR
612,Shreveport LA,Arkansas,AR
619,Springfield MO,Arkansas,AR
800,Bakersfield CA,California,CA
868,Chico-Redding CA,California,CA
802,Eureka CA,California,CA
866,Fresno-Visalia CA,California,CA
803,Los Angeles CA,California,CA
813,Medford-Klamath Falls OR,California,CA
828,Monterey-Salinas CA,California,CA
804,Palm Springs CA,California,CA
811,Reno NV,California,CA
862,Sacramento-Stockton-Modesto CA,California,CA
825,San Diego CA,California,CA
807,San Francisco-Oakland-San Jose CA,California,CA
855,Santa Barbara-Santa Maria-San Luis Obispo CA,California,CA
771,Yuma AZ-El Centro CA,California,CA
752,Colorado Springs-Pueblo CO,Colorado,CO
751,Denver CO,Colorado,CO
773,Grand Junction-Montrose CO,Colorado,CO
533,Hartford & New Haven CT,Connecticut,CT
504,Philadelphia PA,Delaware,DE
576,Salisbury MD,Delaware,DE
571,Ft. Myers-Naples FL,Florida,FL
592,Gainesville FL,Florida,FL
561,Jacksonville FL,Florida,FL
528,Miami-Ft. Lauderdale FL,Florida,FL
686,Mobile AL-Pensacola (Ft. Walton Beach) FL,Florida,FL
534,Orlando-Daytona Beach-Melbourne FL,Florida,FL
656,Panama City FL,Florida,FL
530,Tallahassee FL-Thomasville GA,Florida,FL
539,Tampa-St. Petersburg (Sarasota) FL,Florida,FL
548,West Palm Beach-Ft. Pierce FL,Florida,FL
525,Albany GA,Georgia,GA
524,Atlanta GA,Georgia,GA
520,Augusta GA,Georgia,GA
575,Chattanooga TN,Georgia,GA
522,Columbus GA,Georgia,GA
606,Dothan AL,Georgia,GA
561,Jacksonville FL,Georgia,GA
503,Macon GA,Georgia,GA
507,Savannah GA,Georgia,GA
530,Tallahassee FL-Thomasville GA,Georgia,GA
744,Honolulu HI,Hawaii,HI
757,Boise ID,Idaho,ID
758,Idaho Falls-Pocatello ID,Idaho,ID
881,Spokane WA,Idaho,ID
760,Twin Falls ID,Idaho,ID
648,Champaign & Springfield-Decatur IL,Illinois,IL
602,Chicago IL,Illinois,IL
682,Davenport IA-Rock Island-Moline IL,Illinois,IL
649,Evansville IN,Illinois,IL
632,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,Illinois,IL
675,Peoria-Bloomington IL,Illinois,IL
717,Quincy IL-Hannibal MO-Keokuk IA,Illinois,IL
610,Rockford IL,Illinois,IL
609,St. Louis MO,Illinois,IL
581,Terre Haute IN,Illinois,IL
602,Chicago IL,Indiana,IN
515,Cincinnati OH,Indiana,IN
649,Evansville IN,Indiana,IN
509,Ft. Wayne IN,Indiana,IN
527,Indianapolis IN,Indiana,IN
582,Lafayette IN,Indiana,IN
529,Louisville KY,Indiana,IN
588,South Bend-Elkhart IN,Indiana,IN
581,Terre Haute IN,Indiana,IN
637,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,Iowa,IA
682,Davenport IA-Rock Island-Moline IL,Iowa,IA
679,Des Moines-Ames IA,Iowa,IA
652,Omaha NE,Iowa,IA
631,Ottumwa IA-Kirksville MO,Iowa,IA
611,Rochester MN-Mason City IA-Austin MN,Iowa,IA
624,Sioux City IA,Iowa,IA
603,Joplin MO-Pittsburg KS,Kansas,KS
616,Kansas City MO,Kansas,KS
638,St. Joseph MO,Kansas,KS
605,Topeka KS,Kansas,KS
678,Wichita-Hutchinson KS,Kansas,KS
736,Bowling Green KY,Kentucky,KY
564,Charleston-Huntington WV,Kentucky,KY
515,Cincinnati OH,Kentucky,KY
649,Evansville IN,Kentucky,KY
557,Knoxville TN,Kentucky,KY
541,Lexington KY,Kentucky,KY
529,Louisville KY,Kentucky,KY
659,Nashville TN,Kentucky,KY
632,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,Kentucky,KY
531,Tri-Cities TN-VA,Kentucky,KY
644,Alexandria LA,Louisiana,LA
716,Baton Rouge LA,Louisiana,LA
642,Lafayette LA,Louisiana,LA
643,Lake Charles LA,Louisiana,LA
628,Monroe LA-El Dorado AR,Louisiana,LA
622,New Orleans LA,Louisiana,LA
612,Shreveport LA,Louisiana,LA
537,Bangor ME,Maine,ME
500,Portland-Auburn ME,Maine,ME
552,Presque Isle ME,Maine,ME
512,Baltimore MD,Maryland,MD
576,Salisbury MD,Maryland,MD
511,Washington DC (Hagerstown MD),Maryland,MD
506,Boston MA-Manchester NH,Massachusetts,MA
521,Providence RI-New Bedford MA,Massachusetts,MA
543,Springfield-Holyoke MA,Massachusetts,MA
505,Detroit MI,Michigan,MI
513,Flint-Saginaw-Bay City MI,Michigan,MI
563,Grand Rapids-Kalamazoo-Battle Creek MI,Michigan,MI
551,Lansing MI,Michigan,MI
553,Marquette MI,Michigan,MI
588,South Bend-Elkhart IN,Michigan,MI
547,Toledo OH,Michigan,MI
540,Traverse City-Cadillac MI,Michigan,MI
583,Алпена,Michigan,MI
676,Duluth MN-Superior WI,Minnesota,MN
724,Fargo-Valley City ND,Minnesota,MN
702,La Crosse-Eau Claire WI,Minnesota,MN
737,Mankato MN,Minnesota,MN
613,Minneapolis-St. Paul MN,Minnesota,MN
611,Rochester MN-Mason City IA-Austin MN,Minnesota,MN
716,Baton Rouge LA,Mississippi,MS
746,Biloxi-Gulfport MS,Mississippi,MS
673,Columbus-Tupelo-West Point MS,Mississippi,MS
647,Greenwood-Greenville MS,Mississippi,MS
